"","Time","air","area","art","back","body","book","business","car","case","change","child","city","community","company","country","day","door","education","end","eye","face","fact","family","father","force","friend","game","girl","government","group","guy","hand","head","health","history","home","hour","house","idea","information","issue","job","kid","kind","law","level","life","line","lot","man","member","minute","moment","money","month","morning","mother","name","night","number","office","others","parent","part","party","people","person","place","point","power","president","problem","program","question","reason","research","result","right","room","school","service","side","state","story","student","study","system","teacher","team","thing","time","war","water","way","week","woman","word","work","world","year"
"1",10,0.014,0,0.068,0.162,0.006,0.024,0,0.058,0.008,0.006,0.004,0,0,0.002,0.006,0.096,0,0,0.054,0.008,0.004,0.002,0.004,0,0,0.006,0.008,0.002,0.012,0.004,0.008,0.01,0.002,0.01,0.002,0.018,0.006,0.004,0.002,0,0.002,0.05,0.014,0.006,0.012,0.004,0.016,0.01,0.006,0.064,0.002,0.002,0.006,0.01,0.004,0.008,0,0.008,0.008,0.002,0.004,0.002,0.004,0.01,0.006,0.03,0.002,0.002,0.002,0.002,0,0,0,0,0.006,0.002,0,0.022,0.002,0.01,0,0.012,0.006,0.02,0.002,0.002,0.002,0,0.004,0.03,0.064,0.008,0.004,0.03,0.012,0.004,0.002,0.028,0.004,0.022
"2",11,0.00223713646532438,0.00447427293064877,0.0782997762863535,0.0357941834451902,0.0380313199105145,0.00671140939597315,0.00447427293064877,0.029082774049217,0.00447427293064877,0.0313199105145414,0.00894854586129754,0,0.00671140939597315,0,0,0.0536912751677852,0.00223713646532438,0.00223713646532438,0.0626398210290828,0.00223713646532438,0.00447427293064877,0.0134228187919463,0.00671140939597315,0,0.00447427293064877,0.00671140939597315,0.0134228187919463,0.0111856823266219,0,0,0.0134228187919463,0.0223713646532438,0.00894854586129754,0.00223713646532438,0,0.00894854586129754,0,0.00223713646532438,0.00671140939597315,0.00223713646532438,0.00223713646532438,0.0201342281879195,0.00671140939597315,0.00223713646532438,0,0.00447427293064877,0.0268456375838926,0.00894854586129754,0.0201342281879195,0.029082774049217,0.00223713646532438,0.0134228187919463,0.00447427293064877,0.0111856823266219,0,0.00671140939597315,0,0.0111856823266219,0.0246085011185682,0.00447427293064877,0,0,0.00447427293064877,0.00894854586129754,0.00223713646532438,0.0447427293064877,0.00671140939597315,0.00671140939597315,0.00447427293064877,0.00223713646532438,0.00447427293064877,0,0,0,0.00894854586129754,0.00223713646532438,0,0.00671140939597315,0.00447427293064877,0.00671140939597315,0.00223713646532438,0.0178970917225951,0.00894854586129754,0,0.00223713646532438,0.00447427293064877,0.00223713646532438,0,0.00894854586129754,0.0715883668903803,0.0313199105145414,0.0178970917225951,0,0.0425055928411633,0.0134228187919463,0.00223713646532438,0.0156599552572707,0.0268456375838926,0.00894854586129754,0.0469798657718121
"3",12,0.0150862068965517,0.00862068965517241,0.084051724137931,0.00862068965517241,0.00862068965517241,0.0129310344827586,0,0.040948275862069,0.00646551724137931,0.00431034482758621,0.021551724137931,0,0,0,0.00646551724137931,0.103448275862069,0.00431034482758621,0.00431034482758621,0.0581896551724138,0.0172413793103448,0.00431034482758621,0.0129310344827586,0.00431034482758621,0.0021551724137931,0,0.00431034482758621,0.0172413793103448,0.021551724137931,0.00646551724137931,0.00431034482758621,0.0172413793103448,0.00646551724137931,0.0107758620689655,0.00431034482758621,0,0.0107758620689655,0.0021551724137931,0.00862068965517241,0.00646551724137931,0,0,0.0107758620689655,0.0193965517241379,0.00862068965517241,0.0107758620689655,0.0021551724137931,0.0344827586206897,0.0150862068965517,0.0344827586206897,0.0797413793103448,0.00862068965517241,0.00646551724137931,0.00431034482758621,0.0021551724137931,0.00862068965517241,0.00431034482758621,0,0.00646551724137931,0.0150862068965517,0,0.00646551724137931,0.00431034482758621,0.00646551724137931,0.0107758620689655,0.0021551724137931,0.0387931034482759,0.00646551724137931,0.0021551724137931,0.00646551724137931,0.0021551724137931,0.0021551724137931,0.00431034482758621,0.0021551724137931,0,0.00646551724137931,0.00646551724137931,0.0021551724137931,0.040948275862069,0.00646551724137931,0.00431034482758621,0.0021551724137931,0.0258620689655172,0.0107758620689655,0.00646551724137931,0,0,0.00646551724137931,0.00431034482758621,0.0107758620689655,0.0560344827586207,0.0323275862068966,0.0258620689655172,0.0107758620689655,0.040948275862069,0.0150862068965517,0.00646551724137931,0.0172413793103448,0.0344827586206897,0.00862068965517241,0.0280172413793103
"4",13,0.00860215053763441,0.0043010752688172,0.0645161290322581,0.032258064516129,0.00860215053763441,0.0279569892473118,0.00860215053763441,0.0451612903225806,0.0043010752688172,0.010752688172043,0.0193548387096774,0,0,0.0043010752688172,0,0.0989247311827957,0.00645161290322581,0.0043010752688172,0.0580645161290323,0.010752688172043,0.010752688172043,0.00860215053763441,0.010752688172043,0,0,0.010752688172043,0.00645161290322581,0.032258064516129,0.0043010752688172,0,0.010752688172043,0.00645161290322581,0.00860215053763441,0.0021505376344086,0.00860215053763441,0.00645161290322581,0.0021505376344086,0.0043010752688172,0.0043010752688172,0.0043010752688172,0.0150537634408602,0.010752688172043,0.0193548387096774,0.0193548387096774,0,0.00860215053763441,0.021505376344086,0.0172043010752688,0.00860215053763441,0.0623655913978495,0.0021505376344086,0.0043010752688172,0,0.00645161290322581,0.00860215053763441,0.0043010752688172,0,0.00860215053763441,0.0344086021505376,0.0021505376344086,0.0021505376344086,0.0129032258064516,0.0043010752688172,0.0172043010752688,0.0043010752688172,0.0279569892473118,0.0021505376344086,0.0150537634408602,0.010752688172043,0.00860215053763441,0,0.0129032258064516,0.0021505376344086,0.0021505376344086,0.0043010752688172,0.0021505376344086,0.0043010752688172,0.0301075268817204,0.00860215053763441,0.010752688172043,0,0.0258064516129032,0.0129032258064516,0.0129032258064516,0.0021505376344086,0.0043010752688172,0.0021505376344086,0.0043010752688172,0.010752688172043,0.043010752688172,0.0774193548387097,0.043010752688172,0.0021505376344086,0.0537634408602151,0.0193548387096774,0.00645161290322581,0.0043010752688172,0.032258064516129,0.00860215053763441,0.0150537634408602
"5",14,0.00883002207505519,0.0022075055187638,0.0640176600441501,0.0264900662251656,0.022075055187638,0.00662251655629139,0.00441501103752759,0.0198675496688742,0.00441501103752759,0.00883002207505519,0.0132450331125828,0.00441501103752759,0,0,0.0198675496688742,0.0618101545253863,0.0022075055187638,0.00441501103752759,0.0684326710816777,0.0022075055187638,0.00662251655629139,0.00662251655629139,0.00662251655629139,0,0.0022075055187638,0.0176600441501104,0.00662251655629139,0.0022075055187638,0,0,0.00662251655629139,0.0132450331125828,0.00441501103752759,0.00662251655629139,0,0.00662251655629139,0.0154525386313466,0,0,0,0,0.0176600441501104,0.00441501103752759,0.00441501103752759,0.0022075055187638,0.0022075055187638,0.0242825607064018,0.011037527593819,0.0198675496688742,0.0573951434878587,0.00883002207505519,0.00883002207505519,0.00662251655629139,0,0,0.00883002207505519,0,0.0309050772626932,0.0242825607064018,0.0022075055187638,0.00883002207505519,0.00883002207505519,0.00441501103752759,0.0132450331125828,0.00441501103752759,0.0463576158940397,0.00441501103752759,0.00441501103752759,0.00883002207505519,0.0022075055187638,0.0022075055187638,0,0.0022075055187638,0.00662251655629139,0.0022075055187638,0,0,0.00883002207505519,0.00441501103752759,0.0176600441501104,0.0022075055187638,0.0176600441501104,0.0132450331125828,0.0022075055187638,0.00883002207505519,0,0,0.00662251655629139,0.0022075055187638,0.0441501103752759,0.033112582781457,0.0154525386313466,0.00441501103752759,0.0573951434878587,0.0154525386313466,0.0022075055187638,0.00441501103752759,0.0286975717439294,0.00883002207505519,0.0353200883002208
"6",15,0.00447427293064877,0,0.0671140939597315,0.029082774049217,0.0156599552572707,0.0134228187919463,0,0.029082774049217,0.00671140939597315,0.00671140939597315,0.00894854586129754,0.00223713646532438,0,0,0,0.0671140939597315,0,0.00223713646532438,0.0492170022371365,0.00894854586129754,0.00447427293064877,0.00447427293064877,0.00223713646532438,0,0,0.00894854586129754,0.0178970917225951,0.00894854586129754,0.0156599552572707,0,0.0201342281879195,0,0.00671140939597315,0.00223713646532438,0.00894854586129754,0.0178970917225951,0,0,0.00671140939597315,0.00223713646532438,0.00447427293064877,0.00894854586129754,0.0201342281879195,0.00223713646532438,0.0223713646532438,0,0.0223713646532438,0.00671140939597315,0.00671140939597315,0.0559284116331096,0.00894854586129754,0.0111856823266219,0.00894854586129754,0.00447427293064877,0.00671140939597315,0.00223713646532438,0,0.0156599552572707,0.00894854586129754,0.00671140939597315,0,0.00223713646532438,0,0.0134228187919463,0,0.0223713646532438,0.00894854586129754,0.00223713646532438,0.00223713646532438,0.00447427293064877,0.00894854586129754,0.00447427293064877,0,0.00223713646532438,0.00223713646532438,0.00223713646532438,0.00223713646532438,0.0313199105145414,0.00671140939597315,0.0178970917225951,0.00447427293064877,0.0447427293064877,0.00447427293064877,0.0134228187919463,0.00671140939597315,0.00447427293064877,0.00223713646532438,0,0.0223713646532438,0.0447427293064877,0.0380313199105145,0.0156599552572707,0,0.029082774049217,0.0201342281879195,0,0,0.029082774049217,0.0111856823266219,0.0223713646532438
"7",16,0.0108459869848156,0,0.0889370932754881,0.0238611713665944,0.00650759219088937,0.0108459869848156,0.00650759219088937,0.0260303687635575,0.00650759219088937,0.0151843817787419,0.00433839479392625,0.00867678958785249,0,0.00433839479392625,0.0151843817787419,0.0585683297180043,0.00433839479392625,0,0.0780911062906725,0.00433839479392625,0.00433839479392625,0.00650759219088937,0.0151843817787419,0,0.00216919739696312,0.0195227765726681,0.00433839479392625,0.00433839479392625,0.0130151843817787,0.00216919739696312,0.0108459869848156,0.00650759219088937,0.00867678958785249,0.00433839479392625,0,0.017353579175705,0.00216919739696312,0.00216919739696312,0.00433839479392625,0,0.00216919739696312,0.00650759219088937,0.0108459869848156,0.00216919739696312,0.00433839479392625,0.00433839479392625,0.0195227765726681,0.0195227765726681,0.00433839479392625,0.0542299349240781,0.00867678958785249,0.00650759219088937,0.00433839479392625,0.0108459869848156,0,0.00650759219088937,0,0.017353579175705,0.0130151843817787,0.00216919739696312,0.00433839479392625,0.00216919739696312,0.00433839479392625,0.0151843817787419,0.00433839479392625,0.0151843817787419,0.0108459869848156,0.00433839479392625,0.0108459869848156,0.0108459869848156,0.00216919739696312,0,0.00216919739696312,0.00216919739696312,0,0.00867678958785249,0.00433839479392625,0.03470715835141,0.0108459869848156,0.00650759219088937,0,0.0216919739696312,0.00433839479392625,0.00433839479392625,0.00433839479392625,0.00433839479392625,0.00433839479392625,0,0.0130151843817787,0.0498915401301518,0.0650759219088937,0.0216919739696312,0,0.0281995661605206,0.0216919739696312,0.00433839479392625,0.00216919739696312,0.0325379609544469,0.0195227765726681,0.0216919739696312
"8",17,0.0150862068965517,0,0.0603448275862069,0.0323275862068966,0.0107758620689655,0.0107758620689655,0,0.0452586206896552,0.0021551724137931,0.0172413793103448,0.0107758620689655,0,0,0.00431034482758621,0.00431034482758621,0.0689655172413793,0.0021551724137931,0.0021551724137931,0.0431034482758621,0.00862068965517241,0.0172413793103448,0.00646551724137931,0.0107758620689655,0.0021551724137931,0.0021551724137931,0.00862068965517241,0.0107758620689655,0.0107758620689655,0.021551724137931,0.00646551724137931,0.0107758620689655,0.0150862068965517,0.0107758620689655,0.00431034482758621,0.00431034482758621,0.0172413793103448,0.00646551724137931,0.0021551724137931,0.00646551724137931,0,0,0.00862068965517241,0.0107758620689655,0,0.0150862068965517,0,0.021551724137931,0.0150862068965517,0.021551724137931,0.0581896551724138,0.00431034482758621,0.00431034482758621,0.00431034482758621,0.0021551724137931,0,0.00431034482758621,0,0.0150862068965517,0.0107758620689655,0.0021551724137931,0.00646551724137931,0.0129310344827586,0.00431034482758621,0.0129310344827586,0.00431034482758621,0.0280172413793103,0.00431034482758621,0.0129310344827586,0.0021551724137931,0.0172413793103448,0.00646551724137931,0.0021551724137931,0,0.00431034482758621,0.0129310344827586,0.00431034482758621,0.00646551724137931,0.0172413793103448,0.0021551724137931,0.0021551724137931,0.00431034482758621,0.0366379310344828,0,0.0129310344827586,0.00646551724137931,0.00431034482758621,0.0021551724137931,0.0021551724137931,0.0107758620689655,0.0560344827586207,0.0474137931034483,0.0129310344827586,0.0021551724137931,0.0474137931034483,0.0323275862068966,0.00646551724137931,0.00646551724137931,0.0344827586206897,0.021551724137931,0.0301724137931034
"9",18,0.0213219616204691,0.00213219616204691,0.0767590618336887,0.046908315565032,0.00426439232409382,0.00852878464818763,0.00852878464818763,0.023454157782516,0.00639658848614072,0.0127931769722814,0.00426439232409382,0,0.0106609808102345,0.00213219616204691,0.00639658848614072,0.0682302771855011,0,0.00213219616204691,0.0639658848614073,0.0170575692963753,0.00852878464818763,0.00426439232409382,0.00426439232409382,0.00213219616204691,0.00213219616204691,0.023454157782516,0.0149253731343284,0.0106609808102345,0.00639658848614072,0.00213219616204691,0.0191897654584222,0.00852878464818763,0.00852878464818763,0.00426439232409382,0.00639658848614072,0.0213219616204691,0.00639658848614072,0.00639658848614072,0.00852878464818763,0.00213219616204691,0.00213219616204691,0.00852878464818763,0.0170575692963753,0,0.0149253731343284,0.00426439232409382,0.0106609808102345,0.00852878464818763,0.00852878464818763,0.046908315565032,0.0106609808102345,0.00426439232409382,0.00639658848614072,0.00852878464818763,0.00639658848614072,0.00213219616204691,0.00213219616204691,0.023454157782516,0.0277185501066098,0,0.00639658848614072,0.00213219616204691,0.0127931769722814,0.0191897654584222,0.00426439232409382,0.0191897654584222,0.00213219616204691,0.00213219616204691,0.00639658848614072,0.00639658848614072,0.00639658848614072,0,0,0.00213219616204691,0,0,0.00213219616204691,0.0127931769722814,0.0106609808102345,0.00852878464818763,0,0.0319829424307036,0.00639658848614072,0.0106609808102345,0.00213219616204691,0.00852878464818763,0.00213219616204691,0.00213219616204691,0.0127931769722814,0.0298507462686567,0.046908315565032,0.0191897654584222,0,0.0533049040511727,0.0341151385927505,0.00213219616204691,0.00213219616204691,0.0341151385927505,0.0213219616204691,0.0341151385927505
"10",19,0.0109649122807018,0.00219298245614035,0.0855263157894737,0.0350877192982456,0.0131578947368421,0.0175438596491228,0.0087719298245614,0.0307017543859649,0.0087719298245614,0.00219298245614035,0.00657894736842105,0.00219298245614035,0.00657894736842105,0.0043859649122807,0.00219298245614035,0.0679824561403509,0.00219298245614035,0,0.0635964912280702,0.0109649122807018,0.00657894736842105,0.0087719298245614,0.00219298245614035,0,0,0.0219298245614035,0.0109649122807018,0.0131578947368421,0.0043859649122807,0.0043859649122807,0.0153508771929825,0.0087719298245614,0.00657894736842105,0.0087719298245614,0.0043859649122807,0.0175438596491228,0.00657894736842105,0.00219298245614035,0.00657894736842105,0,0.0043859649122807,0.0109649122807018,0.0131578947368421,0.00219298245614035,0.0109649122807018,0.00219298245614035,0.0241228070175439,0.0219298245614035,0.0131578947368421,0.043859649122807,0.0131578947368421,0,0.0087719298245614,0.0153508771929825,0.0109649122807018,0.00219298245614035,0.00219298245614035,0.0131578947368421,0.0285087719298246,0,0.00219298245614035,0.00219298245614035,0,0.0197368421052632,0.0043859649122807,0.0197368421052632,0.0175438596491228,0.00657894736842105,0.0087719298245614,0.0043859649122807,0.00219298245614035,0.00657894736842105,0,0.00657894736842105,0.0087719298245614,0.0043859649122807,0,0.0153508771929825,0.0087719298245614,0.0043859649122807,0.00219298245614035,0.0350877192982456,0.0153508771929825,0.0131578947368421,0.0043859649122807,0.0043859649122807,0.00219298245614035,0.00219298245614035,0.0087719298245614,0.0416666666666667,0.0548245614035088,0.0263157894736842,0,0.0394736842105263,0.0285087719298246,0.0043859649122807,0.00219298245614035,0.0285087719298246,0.0087719298245614,0.0416666666666667
"11",6,0.0044543429844098,0,0.0579064587973274,0.0356347438752784,0.0133630289532294,0.0111358574610245,0.0089086859688196,0.022271714922049,0.0111358574610245,0.0244988864142539,0.0044543429844098,0,0.0022271714922049,0,0.0066815144766147,0.0757238307349666,0,0,0.0579064587973274,0.0044543429844098,0.0066815144766147,0.0022271714922049,0.0089086859688196,0,0.0044543429844098,0.0200445434298441,0.0044543429844098,0.0044543429844098,0.0267260579064588,0.0044543429844098,0.0200445434298441,0.0066815144766147,0.0044543429844098,0.0044543429844098,0.0066815144766147,0.0111358574610245,0.0044543429844098,0.0044543429844098,0,0.0022271714922049,0,0.0022271714922049,0.0066815144766147,0.0022271714922049,0.0089086859688196,0,0.0066815144766147,0.0267260579064588,0.0066815144766147,0.0579064587973274,0.0066815144766147,0,0.0066815144766147,0.0089086859688196,0.0022271714922049,0.0178173719376392,0,0.0044543429844098,0.0066815144766147,0.0044543429844098,0.0066815144766147,0.0022271714922049,0.0022271714922049,0.0200445434298441,0,0.0178173719376392,0.0066815144766147,0.0178173719376392,0.0022271714922049,0.0089086859688196,0,0,0,0.0044543429844098,0.0155902004454343,0.0022271714922049,0.0022271714922049,0.022271714922049,0.0066815144766147,0.0022271714922049,0.0111358574610245,0.0267260579064588,0.0066815144766147,0.0155902004454343,0.0022271714922049,0.0111358574610245,0,0,0.0089086859688196,0.0356347438752784,0.0601336302895323,0.0400890868596882,0.0022271714922049,0.0534521158129176,0.0244988864142539,0.0066815144766147,0.0044543429844098,0.0512249443207127,0.0133630289532294,0.044543429844098
"12",7,0.0186915887850467,0.00700934579439252,0.0794392523364486,0.0350467289719626,0.00233644859813084,0.00934579439252336,0,0.0327102803738318,0.00233644859813084,0.00700934579439252,0.00233644859813084,0.00233644859813084,0.00233644859813084,0.00233644859813084,0.00233644859813084,0.0747663551401869,0,0,0.0607476635514019,0,0.0163551401869159,0.00467289719626168,0.00467289719626168,0,0.00700934579439252,0.014018691588785,0.014018691588785,0.0186915887850467,0.0210280373831776,0.00233644859813084,0.014018691588785,0.0116822429906542,0.0163551401869159,0.00467289719626168,0.00700934579439252,0.0163551401869159,0.0116822429906542,0.00233644859813084,0.00467289719626168,0,0,0.0116822429906542,0.014018691588785,0.00233644859813084,0.00233644859813084,0.00467289719626168,0.0163551401869159,0.0280373831775701,0.00934579439252336,0.0560747663551402,0.00700934579439252,0.00233644859813084,0.00233644859813084,0.00700934579439252,0.00233644859813084,0.00233644859813084,0.00233644859813084,0.00700934579439252,0.0186915887850467,0.00467289719626168,0.0163551401869159,0.00700934579439252,0.00467289719626168,0.014018691588785,0,0.0257009345794393,0.0186915887850467,0.00934579439252336,0,0.0116822429906542,0.00233644859813084,0.00233644859813084,0.00700934579439252,0.00934579439252336,0.00467289719626168,0,0,0.0280373831775701,0.0233644859813084,0.00700934579439252,0.00467289719626168,0.0373831775700935,0.00467289719626168,0.014018691588785,0,0.00233644859813084,0.00700934579439252,0.00233644859813084,0.0163551401869159,0.0350467289719626,0.0490654205607477,0.0257009345794393,0,0.0560747663551402,0.0257009345794393,0.00233644859813084,0.00700934579439252,0.0257009345794393,0.0233644859813084,0.0327102803738318
"13",8,0.0182232346241458,0,0.0888382687927107,0.0273348519362187,0.00455580865603645,0.00455580865603645,0,0.0296127562642369,0.00911161731207289,0.00683371298405467,0.020501138952164,0.00227790432801822,0.00227790432801822,0,0.00227790432801822,0.111617312072893,0.00683371298405467,0.00227790432801822,0.0774487471526196,0.00455580865603645,0.00227790432801822,0,0.00683371298405467,0,0.00455580865603645,0.0318906605922551,0.00455580865603645,0.0296127562642369,0.00455580865603645,0.00455580865603645,0.0387243735763098,0.00683371298405467,0.0136674259681093,0.0159453302961276,0.0113895216400911,0.0159453302961276,0.00227790432801822,0.00227790432801822,0,0,0.00227790432801822,0.0136674259681093,0.0159453302961276,0.00227790432801822,0.00911161731207289,0.00455580865603645,0.020501138952164,0.0182232346241458,0.0113895216400911,0.0706150341685649,0.00455580865603645,0.00683371298405467,0.00227790432801822,0.00911161731207289,0.0250569476082005,0.00227790432801822,0,0.00911161731207289,0.0159453302961276,0,0.00227790432801822,0.00455580865603645,0,0.0113895216400911,0,0.0478359908883827,0.0159453302961276,0.00455580865603645,0.00455580865603645,0.0113895216400911,0.00227790432801822,0.00683371298405467,0.00227790432801822,0.00683371298405467,0.00455580865603645,0.00227790432801822,0.00227790432801822,0.0296127562642369,0.00227790432801822,0.00683371298405467,0.00455580865603645,0.0341685649202733,0.00227790432801822,0.0136674259681093,0.00455580865603645,0.00683371298405467,0.00227790432801822,0.00227790432801822,0.00911161731207289,0.0569476082004556,0.0478359908883827,0.0296127562642369,0.00227790432801822,0.0455580865603645,0.0227790432801822,0.00455580865603645,0.0182232346241458,0.0455580865603645,0.00911161731207289,0.0432801822323462
"14",9,0.0133928571428571,0,0.0602678571428571,0.0334821428571429,0.0111607142857143,0.00446428571428571,0.0111607142857143,0.03125,0.00892857142857143,0.0111607142857143,0.0178571428571429,0.00446428571428571,0.00446428571428571,0.00892857142857143,0.00892857142857143,0.0959821428571429,0.00223214285714286,0.00223214285714286,0.0535714285714286,0.00223214285714286,0.00669642857142857,0.00669642857142857,0.0111607142857143,0.00223214285714286,0.00669642857142857,0.0245535714285714,0.0178571428571429,0.00669642857142857,0.00446428571428571,0.00446428571428571,0.0223214285714286,0.00669642857142857,0.00446428571428571,0.00446428571428571,0.00892857142857143,0.00892857142857143,0.00446428571428571,0.00669642857142857,0,0.00223214285714286,0.00223214285714286,0.00669642857142857,0.00892857142857143,0.00892857142857143,0.00669642857142857,0.00446428571428571,0.0133928571428571,0.0178571428571429,0.00223214285714286,0.0625,0.0178571428571429,0.00223214285714286,0.00892857142857143,0.00669642857142857,0.00669642857142857,0.0133928571428571,0.00223214285714286,0.0111607142857143,0.015625,0.00223214285714286,0,0.00446428571428571,0.00669642857142857,0.00892857142857143,0.00223214285714286,0.0401785714285714,0.0133928571428571,0.00892857142857143,0,0.00446428571428571,0,0.00669642857142857,0,0.00446428571428571,0.00669642857142857,0,0,0.0223214285714286,0.00446428571428571,0.00223214285714286,0.00223214285714286,0.03125,0.00223214285714286,0.015625,0,0.00446428571428571,0.00892857142857143,0,0.0133928571428571,0.0558035714285714,0.0379464285714286,0.0223214285714286,0.00669642857142857,0.0424107142857143,0.0290178571428571,0,0.00669642857142857,0.0401785714285714,0.0111607142857143,0.0200892857142857
